Symbol,buys,MT
NOVT,16,700
NVDA,16,700
NVEI,16,700
OKE,16,500
OKTA,16,700
OZK,16,700
PG,16,500
PGNY,16,700
PGR,16,500
PKG,16,500
PLAY,16,700
PSTL,16,800
PTC,16,700
PTEN,16,700
PUMP,16,600
QRVO,16,700
REYN,16,700
RGLD,16,700
ROK,16,500
RYAAY,16,700
RYI,16,800
SBOW,16,800
SKT,16,600
SLCA,16,600
SMG,16,400
SPG,16,500
SPGI,16,500
SPLK,16,700
STNG,16,800
SWKS,16,700
TBI,16,600
TCBI,16,700
TCBK,16,700
TCOM,16,700
TER,16,700
TGNA,16,400
TMHC,16,400
TNL,16,400
TRGP,16,500
TRMK,16,700
TRUP,16,700
TSLA,16,700
TSN,16,500
TTMI,16,700
TXN,16,700
UMBF,16,700
UNM,16,400
UPBD,16,700
WAFD,16,700
WDC,16,700
WMK,16,800
WRB,16,500
ZBH,16,500
ZG,16,700
ZI,16,700
ABM,15,600
ABT,15,500
ACVA,15,700
ADM,15,500
ADUS,15,700
AFL,15,500
ALK,15,500
ARGO,15,800
BATRK,15,700
BDX,15,500
BG,15,500
BHF,15,700
BKU,15,600
BMI,15,600
BNL,15,800
BWXT,15,400
BX,15,500
CAH,15,500
CAL,15,600
CBSH,15,700
CFR,15,400
CGNX,15,700
CHRD,15,700
COP,15,500
CPF,15,600
CPS,15,800
CSCO,15,700
CTRE,15,600
DAR,15,400
DE,15,500
DEN,15,800
DOLE,15,800
DUK,15,500
DVN,15,500
EAT,15,600
EE,15,800
EME,15,400
ETN,15,500
FCN,15,400
FFIC,15,700
FRPT,15,700
GBCI,15,400
GEF,15,400
GPRE,15,700
HTH,15,600
INDV,15,700
ISRG,15,700
ITRI,15,700
JEF,15,400
LBRT,15,600
LOGI,15,700
LSTR,15,700
MCB,15,800
MDT,15,500
MGEE,15,700
MMC,15,500
MMM,15,500
MNST,15,700
MPWR,15,700
MTH,15,600
MTX,15,600
MUSA,15,400
NBHC,15,600
NTCT,15,700
ODFL,15,700
OGS,15,400
ORA,15,400
OXY,15,500
PANW,15,700
PCAR,15,700
PCRX,15,700
PFC,15,700
PFG,15,700
PFSI,15,800
POST,15,400
PPBI,15,700
PRMW,15,800
PSN,15,800
PWR,15,500
ROIC,15,700
RTX,15,500
SAVA,15,700
SBCF,15,700
SCI,15,400
SFBS,15,600
SFNC,15,700
SSRM,15,700
ST,15,400
TENB,15,700
TGH,15,800
THS,15,600
TRMB,15,700
TRS,15,700
TTEK,15,700
UNP,15,500
UPWK,15,700
UTZ,15,800
V,15,500
VAL,15,400
WFRD,15,700
WMB,15,500
WOR,15,400
ZBRA,15,700
ZTS,15,500
ABR,14,600
ACEL,14,800
ACT,14,700
ADC,14,400
AES,14,500
AI,14,800
AMD,14,700
AMG,14,400
ANSS,14,700
APH,14,500
BALL,14,500
BANR,14,700
BCC,14,600
BIIB,14,700
BOH,14,600
CC,14,400
CCI,14,500
CFLT,14,700
CHRW,14,700
CNS,14,800
COOP,14,700
CORT,14,700
CRDO,14,700
CSWI,14,700
DD,14,500
DOCN,14,800
ELF,14,600
ELV,14,500
ENR,14,600
EVH,14,800
FBP,14,600
FHB,14,700
FIVE,14,700
GABC,14,700
GATE,14,700
GFF,14,600
GNRC,14,500
HRMY,14,700
HST,14,700
IBOC,14,700
IMKTA,14,700
INSW,14,800
IRTC,14,700
JNJ,14,500
KBH,14,400
KBR,14,400
KIM,14,500
LLYVK,14,700
LOW,14,500
LTH,14,800
LYB,14,500
LZ,14,700
MET,14,500
META,14,700
MGY,14,800
MKTX,14,700
MLP,14,800
MRCY,14,700
MRTX,14,700
MUR,14,400
MWA,14,800
NGVT,14,600
NIC,14,800
NMIH,14,700
NSC,14,500
NUE,14,500
NWBI,14,700
NWE,14,700
NYCB,14,400
NYT,14,400
OFG,14,600
OI,14,600
PAYX,14,700
PCVX,14,700
PD,14,800
PDFS,14,700
PEG,14,500
PEP,14,700
PEPL,14,700
PLOW,14,800
QCOM,14,700
QLYS,14,700
RDUS,14,700
RDWR,14,700
REXR,14,400
RMBS,14,700
RMD,14,500
RRR,14,700
RYN,14,400
SAIC,14,400
SANM,14,700
SBRA,14,700
SCHW,14,500
SD,14,800
SLB,14,500
SMPL,14,700
SPSC,14,700
SR,14,400
SSD,14,400
STLD,14,700
STRA,14,700
STX,14,700
SYBT,14,700
TMUS,14,700
TNK,14,800
TPH,14,600
TTC,14,400
TW,14,700
TYRA,14,700
VEL,14,800
VIRT,14,700
VNT,14,400
VRTS,14,700
WBS,14,400
WD,14,600
WH,14,400
WMT,14,500
XRAY,14,700
