Symbol,Code,Company,Link,Market Cap,Last trade,Change,%Change,Sector
,ASX:HVM,Happy Valley Nutrition Limited (ASX:HVM),https://www.listcorp.com/asx/hvm/happy-valley-nutrition-limited,"	2741460",0.012,0,0,Consumer Staples
,ASX:MOH,Moho Resources Limited (ASX:MOH),https://www.listcorp.com/asx/moh/moho-resources-limited,"	2720360",0.008,0,14.29,Materials
,ASX:NMG,NMG Corporation Limited (ASX:NMG),https://www.listcorp.com/asx/nmg/nmg-corporation-limited,"	2706640",0.16,0,0,Materials
,ASX:DAL,Dalaroo Metals Ltd (ASX:DAL),https://www.listcorp.com/asx/dal/dalaroo-metals-ltd,"	2692800",0.032,0,-3.03,Materials
,ASX:AI1,Adisyn Ltd (ASX:AI1),https://www.listcorp.com/asx/ai1/adisyn-ltd,"	2614320",0.02,0,0,Information Technology
,ASX:AMM,Armada Metals Limited (ASX:AMM),https://www.listcorp.com/asx/amm/armada-metals-limited,"	2571360",0.02,0,0,Materials
,ASX:EMU,Emu NL (ASX:EMU),https://www.listcorp.com/asx/emu/emu-nl,"	2501280",0.0015,0,0,Materials
,ASX:TMG,Trigg Minerals Limited (ASX:TMG),https://www.listcorp.com/asx/tmg/trigg-minerals-limited,"	2493850",0.008,0,-20,Materials
,ASX:OKJ,Oakajee Corporation (ASX:OKJ),https://www.listcorp.com/asx/okj/oakajee,"	2469040",0.027,0,0,Materials
,ASX:PRM,Prominence Energy Limited (ASX:PRM),https://www.listcorp.com/asx/prm/prominence-energy-limited,"	2462020",0.017,0,6.25,Energy
,ASX:IVT,Inventis Limited (ASX:IVT),https://www.listcorp.com/asx/ivt/inventis,"	2429580",0.032,0,0,Industrials
,ASX:NNG,NEXION Group Ltd (ASX:NNG),https://www.listcorp.com/asx/nng/nexion-group-ltd,"	2427690",0.012,0,0,Information Technology
,ASX:LRD,Lord Resources Limited (ASX:LRD),https://www.listcorp.com/asx/lrd/lord-resources-limited,"	2413590",0.065,0,0,Materials
,ASX:SIS,Simble Solutions Limited (ASX:SIS),https://www.listcorp.com/asx/sis/simble-solutions-limited,"	2411800",0.003,0,-25,Information Technology
,ASX:ENT,Enterprise Metals Limited (ASX:ENT),https://www.listcorp.com/asx/ent/enterprise-metals-limited,"	2398410",0.003,0,0,Materials
,ASX:AFW,Applyflow Limited (ASX:AFW),https://www.listcorp.com/asx/afw/applyflow-limited,"	2366090",0.016,0,0,Communication Services
,ASX:VIP,VIP Gloves Limited (ASX:VIP),https://www.listcorp.com/asx/vip/vip-gloves-limited,"	2360340",0.003,0,0,Health Care
,ASX:MTAV,BetaShares Metaverse ETF (ASX:MTAV),https://www.listcorp.com/asx/mtav/betashares-metaverse-etf,"	2346000",11.73,-0.26,-2.17,Financials
,ASX:TG1,TechGen Metals Limited (ASX:TG1),https://www.listcorp.com/asx/tg1/techgen-metals-limited,"	2315050",0.03,0,0,Materials
,ASX:OZXX,Global  X  Australia  ex  Financials  & Resources ETF (ASX:OZXX),https://www.listcorp.com/asx/ozxx/global-x-australia-ex-financials-and-resources-etf,"	2292500",9.24,0,0,Financials
,ASX:MTM,MTM Critical Metals Limited (ASX:MTM),https://www.listcorp.com/asx/mtm/mtm-critical-metals-limited,"	2284750",0.021,0,-8.7,Materials
,ASX:M2M,Mt Malcolm Mines NL (ASX:M2M),https://www.listcorp.com/asx/m2m/mt-malcolm-mines-nl,"	2251560",0.025,0,13.64,Materials
,ASX:IDEA,Perpetual Global Innovation Share Fund (Managed Fund) (ASX:IDEA),https://www.listcorp.com/asx/idea/perpetual-global-innovation-share-fund-managed-fund,"	2233450",2.63,0,0,Financials
,ASX:OMX,Orange Minerals NL (ASX:OMX),https://www.listcorp.com/asx/omx/orange-minerals-nl,"	2227510",0.044,0,0,Materials
,ASX:APS,Allup Silica Limited (ASX:APS),https://www.listcorp.com/asx/aps/allup-silica-limited,"	2193200",0.057,0,0,Materials
,ASX:M24,Mamba Exploration Limited (ASX:M24),https://www.listcorp.com/asx/m24/mamba-exploration-limited,"	2134420",0.035,0,0,Materials
,ASX:AVW,Avira Resources Limited (ASX:AVW),https://www.listcorp.com/asx/avw/avira-resources-limited,"	2133790",0.0015,0,50,Materials
,ASX:EMS,Eastern Metals Limited (ASX:EMS),https://www.listcorp.com/asx/ems/eastern-metals-limited,"	2129270",0.032,0,0,Materials
,ASX:AVM,Advance Metals Limited (ASX:AVM),https://www.listcorp.com/asx/avm/advance-metals-limited,"	2059960",0.003,0,-14.29,Materials
,ASX:SAN,Sagalio Energy Limited (ASX:SAN),https://www.listcorp.com/asx/san/sagalio-energy-limited,"	2046600",0.01,0,0,Energy
,ASX:PHL,Propell Holdings Limited (ASX:PHL),https://www.listcorp.com/asx/phl/propell-holdings-limited,"	2046040",0.017,0,0,Financials
,ASX:TML,Timah Resources Limited (ASX:TML),https://www.listcorp.com/asx/tml/timah-resources-limited,"	2041480",0.023,0,0,Utilities
,ASX:1GOV,VanEck 1-5 Year Australian Government Bond ETF (ASX:1GOV),https://www.listcorp.com/asx/1gov/vaneck-1-5-year-australian-government-bond-etf,"	1989200",49.73,-0.05,-0.1,Financials
,ASX:JTL,Jayex Technology Limited (ASX:JTL),https://www.listcorp.com/asx/jtl/jayex-technology-limited,"	1968950",0.007,0,0,Health Care
,ASX:AO1,AssetOwl Limited (ASX:AO1),https://www.listcorp.com/asx/ao1/assetowl-limited,"	1947130",0.001,0,0,Information Technology
